FullName,Email,City,Country,SignupDate,IsActive
Hassan Malik,hassan.malik1@example.com,Karachi,Pakistan,2026-03-05,True
Ayesha Raza,ayesha.raza2@example.com,Karachi,Pakistan,2025-12-29,True
Zainab Butt,zainab.butt3@example.com,Faisalabad,Pakistan,2025-03-21,False
Usman Raza,usman.raza4@example.com,Faisalabad,Pakistan,2026-05-22,True
Usman Raza,usman.raza5@example.com,Lahore,Pakistan,2026-03-26,True
Hassan Raza,hassan.raza6@example.com,Karachi,Pakistan,2025-10-16,True
Usman Khan,usman.khan7@example.com,Multan,Pakistan,2024-08-02,True
Ahmed Khan,ahmed.khan8@example.com,Lahore,Pakistan,2024-12-02,False
Sara Chaudhry,sara.chaudhry9@example.com,Islamabad,Pakistan,2026-03-30,False
Hassan Raza,hassan.raza10@example.com,Lahore,Pakistan,2024-09-13,True
Sara Khan,sara.khan11@example.com,Islamabad,Pakistan,2026-06-13,True
Ali Iqbal,ali.iqbal12@example.com,Lahore,Pakistan,2025-06-07,True
Bilal Khan,bilal.khan13@example.com,Quetta,Pakistan,2026-08-17,False
Hassan Khan,hassan.khan14@example.com,Rawalpindi,Pakistan,2025-05-16,True
Hassan Khan,hassan.khan15@example.com,Islamabad,Pakistan,2025-06-10,True
Zainab Iqbal,zainab.iqbal16@example.com,Islamabad,Pakistan,2025-01-11,True
Ali Farooq,ali.farooq17@example.com,Rawalpindi,Pakistan,2024-09-09,False
Ahmed Iqbal,ahmed.iqbal18@example.com,Islamabad,Pakistan,2026-03-25,False
Sara Raza,sara.raza19@example.com,Multan,Pakistan,2024-07-15,True
Ayesha Shah,ayesha.shah20@example.com,Multan,Pakistan,2024-11-08,False
Fatima Aslam,fatima.aslam21@example.com,Lahore,Pakistan,2025-11-28,False
Sara Raza,sara.raza22@example.com,Faisalabad,Pakistan,2023-12-01,False
Ahmed Butt,ahmed.butt23@example.com,Islamabad,Pakistan,2024-05-17,False
Ali Farooq,ali.farooq24@example.com,Rawalpindi,Pakistan,2024-02-06,True
Sara Raza,sara.raza25@example.com,Peshawar,Pakistan,2026-02-09,True
Ahmed Khan,ahmed.khan26@example.com,Karachi,Pakistan,2023-12-07,True
Ahmed Farooq,ahmed.farooq27@example.com,Karachi,Pakistan,2025-02-07,True
Ayesha Malik,ayesha.malik28@example.com,Multan,Pakistan,2024-03-23,True
Fatima Aslam,fatima.aslam29@example.com,Faisalabad,Pakistan,2024-01-16,True
